station,R_st,R_raw,R_v1,R_v2,PBIAS_R_raw,PBIAS_R_v1,PBIAS_R_v2
Белогорка_26069_calib.csv,10135.810000000001,6789.4951738609925,6789.4951738609925,19207.302998376115,-33.014774607446356,-33.014774607446356,89.49943811472505
Бисер_28138_calib.csv,13700.140000000003,6340.919838119807,10766.17334975139,28103.110612704942,-53.716386561598604,-21.41559611981054,105.1300980333408
Богородицкое_Фенино_34110_calib.csv,10573.556666666667,5660.733939806047,6120.749532054482,16192.692753251,-46.46329406214264,-42.11267102440319,53.143291928427104
Бологое_26298_calib.csv,12122.153333333334,8607.23963594702,8607.23963594702,24287.29391492516,-28.99578648061686,-28.99578648061686,100.35461726210218
Бреды_35041_calib.csv,4202.8133333333335,2190.364184209591,2190.364184209591,8980.709299116565,-47.88338166633801,-47.88338166633801,113.6832780054447
Брянск_26898_calib.csv,9830.43,8020.214512346779,8020.214512346779,31495.149237291713,-18.414407992867265,-18.414407992867265,220.38424806739593
Буденновск_37061_calib.csv,7002.2300000000005,4797.532634722822,5420.95079991017,12505.710146928823,-31.485646219521186,-22.582508716363655,78.59610648220384
Буйнакск_37471_calib.csv,9521.473333333332,4330.640744974462,6403.311139259013,14950.023189193009,-54.517115226133114,-32.74873630279543,57.013758961599905
Вайда_Губа_22003_calib.csv,5063.37,2886.5080190981007,3376.8398947391397,8901.226633134902,-42.99235451689091,-33.308450799780786,75.79648797411413
Валуйки_34321_calib.csv,9779.676666666666,6080.6486763139965,6080.6486763139965,16341.554896334072,-37.823622563724875,-37.823622563724875,67.09708769854429
Великие_Луки_26477_calib.csv,11032.740000000002,7873.619624850616,11547.667739686058,27248.36094942402,-28.634050790187977,4.667269777825418,146.97727807801158
Великий_Устюг_22981_calib.csv,9238.543333333335,6092.207045299821,7114.498851302118,17593.573816159696,-34.05662748456571,-22.991118896065686,90.43666497380387
Верхнее_Дуброво_28445_calib.csv,7051.266666666668,3808.702703262435,4296.558181331282,15233.392879711051,-45.985552904029994,-39.06686011972391,116.03767946720279
